"wikidata_uri","label","birth_year","gender","label","geo_coordinates","wikidata_uri"
http://www.wikidata.org/entity/Q103347361,,1959,male,Yukhary Salahly,POINT(45.267222 41.241667),http://www.wikidata.org/entity/Q4535490
http://www.wikidata.org/entity/Q10336359,Nereu do Vale Pereira,1928,male,Florianópolis,POINT(-48.553047 -27.593281),http://www.wikidata.org/entity/Q132997
http://www.wikidata.org/entity/Q10336952,Nina Rodrigues,1862,male,Vargem Grande,POINT(-43.915833 -3.542778),http://www.wikidata.org/entity/Q1019640
http://www.wikidata.org/entity/Q103381,Nicolaus Sombart,1923,male,Berlin,POINT(13.383333 52.516667),http://www.wikidata.org/entity/Q64
http://www.wikidata.org/entity/Q10340144,Octavio Ianni,1926,male,Itu,POINT(-47.299167 -23.264167),http://www.wikidata.org/entity/Q957653
http://www.wikidata.org/entity/Q10340715,Oliveira Viana,1883,male,Saquarema,POINT(-42.510000 -22.920000),http://www.wikidata.org/entity/Q653716
http://www.wikidata.org/entity/Q103445,Erhard Roy Wiehn,1937,male,Saarbrücken,POINT(7.000000 49.233333),http://www.wikidata.org/entity/Q1724
http://www.wikidata.org/entity/Q10346501,Paulo Castro Seixas,1967,male,Luanda,POINT(13.234445 -8.838333),http://www.wikidata.org/entity/Q3897
http://www.wikidata.org/entity/Q10346835,Paulo Stuart Wright,1933,male,Joaçaba,POINT(-51.505000 -27.177778),http://www.wikidata.org/entity/Q1758467
http://www.wikidata.org/entity/Q10346891,Paulo de Carvalho,1960,male,Luanda,POINT(13.234445 -8.838333),http://www.wikidata.org/entity/Q3897
http://www.wikidata.org/entity/Q10347589,Pedro Manuel Arcaya,1874,male,Coro,POINT(-69.681583 11.395000),http://www.wikidata.org/entity/Q1134454
http://www.wikidata.org/entity/Q10358643,Reginaldo Prandi,1946,male,Potirendaba,POINT(-49.376945 -21.042778),http://www.wikidata.org/entity/Q1648299
http://www.wikidata.org/entity/Q10361287,Richard Guy Parker,1956,male,Wisconsin,POINT(-89.500000 44.500000),http://www.wikidata.org/entity/Q1537
http://www.wikidata.org/entity/Q1036496,Carl-Heinz Boettcher,1928,male,Hamburg,POINT(10.000000 53.550000),http://www.wikidata.org/entity/Q1055
http://www.wikidata.org/entity/Q103658,Thomas Lutz,1957,male,Darmstadt,POINT(8.650000 49.866667),http://www.wikidata.org/entity/Q2973
http://www.wikidata.org/entity/Q10367523,Sanchotene Felice,1935,male,Uruguaiana,POINT(-57.087778 -29.755000),http://www.wikidata.org/entity/Q622823
http://www.wikidata.org/entity/Q103680,Bernhard Mann,1950,male,Stuttgart,POINT(9.180000 48.777500),http://www.wikidata.org/entity/Q1022
http://www.wikidata.org/entity/Q1036829,Carl August Emge,1886,male,Hanau,POINT(8.916944 50.132778),http://www.wikidata.org/entity/Q3802
