"wikidata_uri","label","birth_year","gender"
http://www.wikidata.org/entity/Q104764780,Benoit Lafon,1971,male
http://www.wikidata.org/entity/Q104765,Lutz Niethammer,1939,male
http://www.wikidata.org/entity/Q104771219,Justo de la Cueva,1937,male
http://www.wikidata.org/entity/Q104773740,Anne Warfield Rawls,1950,female
http://www.wikidata.org/entity/Q104781158,Jagdish Gundara,1938,male
http://www.wikidata.org/entity/Q104786104,Anja Röcke,1978,female
http://www.wikidata.org/entity/Q104798034,Stefan Marcinkiewicz,1979,male
http://www.wikidata.org/entity/Q104804816,Roberto Segatori,1947,male
http://www.wikidata.org/entity/Q104810908,Bernt Schnettler,1967,male
http://www.wikidata.org/entity/Q104814840,Pío Jaramillo Alvarado,1884,male
http://www.wikidata.org/entity/Q104833312,Svenn-Åge Dahl,1957,male
http://www.wikidata.org/entity/Q104836601,Jessica Senehi,1959,female
http://www.wikidata.org/entity/Q104840171,Yaëlle Amsellem-Mainguy,1980,female
http://www.wikidata.org/entity/Q104840180,Arthur Vuattoux,1987,male
http://www.wikidata.org/entity/Q104840777,Burak Gümüş,1974,male
http://www.wikidata.org/entity/Q104844681,Sigrid Paul,1929,female
http://www.wikidata.org/entity/Q104848214,Nader Vahabi,1958,male
http://www.wikidata.org/entity/Q104854048,Margit Keller,1971,female
http://www.wikidata.org/entity/Q104854187,Judy S. Gelles,1944,female
http://www.wikidata.org/entity/Q104884186,Bernard Pelamourgues,1951,male
http://www.wikidata.org/entity/Q104884396,Michel Simon,1927,male
http://www.wikidata.org/entity/Q104895707,Onofrio Romano,1968,male
http://www.wikidata.org/entity/Q104896776,Emanuele Leonardi,1981,male
http://www.wikidata.org/entity/Q1049032,Casten von Otter,1941,male
http://www.wikidata.org/entity/Q104903439,Bernard Valentini,1950,male
http://www.wikidata.org/entity/Q104922938,Richard H. Roberts,1946,male
http://www.wikidata.org/entity/Q105028,Christoph Deutschmann,1946,male
http://www.wikidata.org/entity/Q105047339,Nur Vergin,1941,female
http://www.wikidata.org/entity/Q105061312,Cléopâtre Montandon,1941,female
http://www.wikidata.org/entity/Q105061361,Philip Priestley,1939,male
http://www.wikidata.org/entity/Q105080915,Richard “Dick” Lewis Matteson,1928,male
http://www.wikidata.org/entity/Q105087554,Endre J. Nagy,1941,male
http://www.wikidata.org/entity/Q105099994,Anzhai Li,1900,male
http://www.wikidata.org/entity/Q105103645,Philip Abrams,1933,male
http://www.wikidata.org/entity/Q105177095,Seba Eldridge,1885,male
http://www.wikidata.org/entity/Q105184059,Dennis Mileti,1945,male
http://www.wikidata.org/entity/Q1051894,Cavit Orhan Tütengil,1921,male
http://www.wikidata.org/entity/Q105201920,Orhan Ağırdağ,1984,male
http://www.wikidata.org/entity/Q105212289,Abbas Kazemi,1973,male
http://www.wikidata.org/entity/Q105223151,Christian Volk,1979,male
http://www.wikidata.org/entity/Q105226591,Benoît Godin,1958,male
http://www.wikidata.org/entity/Q105243853,Maureen Baker,1948,female
http://www.wikidata.org/entity/Q105273197,Leon Anderson,1950,male
http://www.wikidata.org/entity/Q105296809,,1959,male
http://www.wikidata.org/entity/Q105300796,Sabine Maasen,1960,female
http://www.wikidata.org/entity/Q105300902,Béla Neufeld,1894,male
http://www.wikidata.org/entity/Q105303949,,1951,male
http://www.wikidata.org/entity/Q105306875,Mikołaj Latuch,1931,male
http://www.wikidata.org/entity/Q105307057,William Humbert Form,1917,male
